KS1295[%]	6082[%]	2024[%]	bat-box[%]	3003[%]	4032[%]	Al	Si	Cu	Ni	Mg	Mn	Fe	Cr	Ti	Zr	V	Zn	Vf_FCC_A1	Vf_DIAMOND_A4	Vf_AL15SI2M4	Vf_AL3X	Vf_AL6MN	Vf_MG2ZN3	Vf_AL3NI2	Vf_AL3NI_D011	Vf_AL7CU4NI	Vf_AL2CU_C16	Vf_Q_ALCUMGSI	Vf_AL7CU2FE	Vf_MG2SI_C1	Vf_AL9FE2SI2	Vf_AL18FE2MG7SI10	eut. frac.[%]	eut. T (C)	T_FCC_A1	T_DIAMOND_A4	T_AL15SI2M4	T_AL3X	T_AL6MN	T_MG2ZN3	T_AL3NI2	T_AL3NI_D011	T_AL7CU4NI	T_AL2CU_C16	T_Q_ALCUMGSI	T_AL7CU2FE	T_MG2SI_C1	T_AL9FE2SI2	T_AL18FE2MG7SI10	T(liqu)	T(sol)	delta_T	delta_T_FCC	delta_T_Al15Si2M4	delta_T_Si	CSC	YS(MPa)	hardness(Vickers)	CTEvol(1/K)(20.0-300.0C)	Density(g/cm3)	Volume(m3/mol)	El.conductivity(S/m)	El. resistivity(ohm m)	heat capacity(J/(mol K))	Therm.conductivity(W/(mK))	Therm. diffusivity(m2/s)	Therm.resistivity(mK/W)	Linear thermal expansion (1/K)(20.0-300.0C)	Technical thermal expansion (1/K)(20.0-300.0C)
0.004	19.52681	16.31437	28.44181	19.66223	16.05157	94.29591	2.56238	0.95266	0.21762	0.73372	0.594	0.40368	0.06688	0.04914	0.02282	0.02282	0.14254	91.84311	1.95767	1.41492	nan	2.0207	nan	0.4093	0.8028	0.2829	0.60536	0.1564	0.0014	0.46893	0.49047	0.26152	54.0233	622.85821	637.32665	394.16305	643.04865	350.18549	416.09214	nan	525.47362	422.38977	433.83502	233.71302	345.29123	554.17762	486.00888	382.65917	461.47448	660.83399	541.944	118.88599	65.02208	118.88599	18.72598	0.62441	57.07086	17.45824	7.95E-05	2.681	1.02E-05	1.35E+07	7.44E-08	27.718	185.99602	6.84E-05	0.00542	2.65E-05	2.42E-05
0.0044	19.76619	15.67191	28.7882	20.47326	15.29713	94.4301	2.47543	0.91731	0.20771	0.72457	0.60185	0.40372	0.06659	0.04841	0.02293	0.02293	0.1396	92.02042	1.85578	1.43704	nan	2.02067	nan	0.40828	0.75348	0.28441	0.56553	0.15641	0.00134	0.46552	0.47826	0.25613	53.90332	623.5995	638.05284	390.36649	643.20497	353.00929	416.49092	nan	526.09429	425.41236	434.44843	230.28356	346.18711	554.17213	484.91349	381.87999	459.41237	660.66839	541.94707	118.71693	67.09062	118.71693	18.18891	0.63024	57.17719	17.49078	7.96E-05	2.68065	1.02E-05	1.36E+07	7.42E-08	27.7218	186.52462	6.86E-05	0.0054	2.65E-05	2.42E-05
0.0048	20.00557	15.02945	29.13458	21.28428	14.54268	94.56429	2.38849	0.88197	0.1978	0.71542	0.6097	0.40376	0.0663	0.04769	0.02304	0.02304	0.13667	92.19773	1.75388	1.45917	nan	2.02064	nan	0.40726	0.70416	0.28591	0.52571	0.15641	0.00128	0.4621	0.46604	0.25074	53.78335	624.34079	638.77904	386.56992	643.3613	355.8331	416.88969	nan	526.71495	428.43495	435.06183	226.85409	347.08299	554.16664	483.81811	381.1008	457.35025	660.50279	541.95013	118.54786	69.15917	118.54786	17.65184	0.63607	57.28352	17.52331	7.97E-05	2.6803	1.02E-05	1.36E+07	7.40E-08	27.7256	187.05323	6.88E-05	0.00539	2.66E-05	2.42E-05
0.0052	20.24495	14.38699	29.48096	22.0953	13.78824	94.69848	2.30155	0.84663	0.1879	0.70628	0.61755	0.40379	0.066	0.04696	0.02316	0.02316	0.13373	92.37504	1.65198	1.48129	nan	2.02061	nan	0.40624	0.65484	0.28742	0.48589	0.15642	0.00122	0.45868	0.45383	0.24535	53.66338	625.08208	639.50523	382.77336	643.51762	358.65691	417.28846	nan	527.33561	431.45754	435.67523	223.42462	347.97887	554.16115	482.72273	380.32162	455.28814	660.33719	541.9532	118.37879	71.22771	118.37879	17.11477	0.6419	57.38984	17.55584	7.98E-05	2.67995	1.02E-05	1.37E+07	7.37E-08	27.7294	187.58183	6.90E-05	0.00537	2.66E-05	2.43E-05
0.0056	20.48433	13.74452	29.82734	22.90633	13.0338	94.83267	2.21461	0.81128	0.17799	0.69713	0.6254	0.40383	0.06571	0.04624	0.02327	0.02327	0.1308	92.55235	1.55009	1.50341	nan	2.02058	nan	0.40522	0.60552	0.28893	0.44606	0.15643	0.00116	0.45526	0.44161	0.23996	53.54341	625.82337	640.23143	378.9768	643.67394	361.48072	417.68724	nan	527.95627	434.48013	436.28863	219.99515	348.87475	554.15566	481.62735	379.54244	453.22603	660.17159	541.95627	118.20972	73.29625	118.20972	16.5777	0.64773	57.49617	17.58838	7.99E-05	2.6796	1.02E-05	1.37E+07	7.35E-08	27.7332	188.11043	6.92E-05	0.00535	2.66E-05	2.43E-05
0.006	20.72371	13.10206	30.17372	23.71735	12.27935	94.96686	2.12766	0.77594	0.16808	0.68798	0.63325	0.40387	0.06542	0.04551	0.02338	0.02338	0.12786	92.72966	1.44819	1.52553	nan	2.02055	nan	0.4042	0.5562	0.29043	0.40624	0.15643	0.0011	0.45184	0.4294	0.23457	53.42344	626.56466	640.95762	375.18024	643.83027	364.30453	418.08601	nan	528.57694	437.50272	436.90204	216.56568	349.77063	554.15017	480.53196	378.76325	451.16392	660.00599	541.95933	118.04066	75.36479	118.04066	16.04063	0.65356	57.6025	17.62091	8.00E-05	2.67925	1.02E-05	1.37E+07	7.32E-08	27.737	188.63903	6.93E-05	0.00533	2.67E-05	2.43E-05
0.0064	20.9631	12.4596	30.5201	24.52837	11.52491	95.10105	2.04072	0.74059	0.15817	0.67883	0.6411	0.40391	0.06513	0.04478	0.02349	0.02349	0.12492	92.90697	1.3463	1.54765	nan	2.02052	nan	0.40318	0.50688	0.29194	0.36641	0.15644	0.00104	0.44843	0.41718	0.22918	53.30347	627.30596	641.68382	371.38368	643.98659	367.12834	418.48479	nan	529.1976	440.52532	437.51544	213.13621	350.6665	554.14468	479.43658	377.98407	449.1018	659.84039	541.9624	117.87159	77.43333	117.87159	15.50357	0.65939	57.70882	17.65345	8.01E-05	2.6789	1.02E-05	1.38E+07	7.30E-08	27.7408	189.16763	6.95E-05	0.00532	2.67E-05	2.44E-05
0.0068	21.20248	11.81714	30.86648	25.3394	10.77047	95.23524	1.95378	0.70525	0.14826	0.66968	0.64895	0.40395	0.06484	0.04406	0.0236	0.0236	0.12199	93.08428	1.2444	1.56978	nan	2.02049	nan	0.40216	0.45756	0.29345	0.32659	0.15645	9.80E-04	0.44501	0.40497	0.22379	53.1835	628.04725	642.41001	367.58712	644.14292	369.95215	418.88356	nan	529.81826	443.54791	438.12884	209.70674	351.56238	554.1392	478.3412	377.20489	447.03969	659.67479	541.96547	117.70252	79.50187	117.70252	14.9665	0.66522	57.81515	17.68598	8.02E-05	2.67855	1.02E-05	1.38E+07	7.28E-08	27.7446	189.69624	6.97E-05	0.0053	2.67E-05	2.44E-05
0.0072	21.44186	11.17467	31.21286	26.15042	10.01603	95.36943	1.86684	0.66991	0.13836	0.66054	0.6568	0.40398	0.06454	0.04333	0.02372	0.02372	0.11905	93.26159	1.14251	1.5919	nan	2.02046	nan	0.40114	0.40824	0.29495	0.28677	0.15645	9.20E-04	0.44159	0.39275	0.2184	53.06353	628.78854	643.13621	363.79055	644.29924	372.77596	419.28233	nan	530.43892	446.5705	438.74224	206.27727	352.45826	554.13371	477.24582	376.4257	444.97758	659.50919	541.96853	117.53345	81.57042	117.53345	14.42943	0.67104	57.92148	17.71851	8.03E-05	2.6782	1.02E-05	1.39E+07	7.25E-08	27.7484	190.22484	6.99E-05	0.00528	2.68E-05	2.44E-05
0.0076	21.68124	10.53221	31.55925	26.96144	9.26158	95.50362	1.7799	0.63456	0.12845	0.65139	0.66465	0.40402	0.06425	0.04261	0.02383	0.02383	0.11612	93.4389	1.04061	1.61402	nan	2.02043	nan	0.40012	0.35892	0.29646	0.24694	0.15646	8.60E-04	0.43817	0.38054	0.21301	52.94356	629.52983	643.8624	359.99399	644.45557	375.59976	419.68111	nan	531.05959	449.59309	439.35565	202.8478	353.35414	554.12822	476.15043	375.64652	442.91547	659.34359	541.9716	117.36439	83.63896	117.36439	13.89236	0.67687	58.0278	17.75105	8.04E-05	2.67785	1.02E-05	1.39E+07	7.23E-08	27.7522	190.75344	7.00E-05	0.00527	2.68E-05	2.45E-05
0.008	21.92062	9.88975	31.90563	27.77246	8.50714	95.63781	1.69295	0.59922	0.11854	0.64224	0.6725	0.40406	0.06396	0.04188	0.02394	0.02394	0.11318	93.61621	0.93872	1.63614	nan	2.0204	nan	0.3991	0.3096	0.29797	0.20712	0.15647	8.00E-04	0.43476	0.36832	0.20762	52.82359	630.27112	644.5886	356.19743	644.61189	378.42357	420.07988	nan	531.68025	452.61568	439.96905	199.41834	354.25002	554.12273	475.05505	374.86734	440.85336	659.17799	541.97467	117.19532	85.7075	117.19532	13.35529	0.6827	58.13413	17.78358	8.05E-05	2.6775	1.02E-05	1.39E+07	7.20E-08	27.756	191.28204	7.02E-05	0.00525	2.68E-05	2.45E-05
0.0084	22.16	9.24729	32.25201	28.58349	7.7527	95.772	1.60601	0.56387	0.10863	0.63309	0.68035	0.4041	0.06367	0.04115	0.02405	0.02405	0.11024	93.79352	0.83682	1.65826	nan	2.02037	nan	0.39808	0.26028	0.29947	0.16729	0.15647	7.40E-04	0.43134	0.35611	0.20223	52.70362	631.01241	645.31479	352.40087	644.76822	381.24738	420.47866	nan	532.30091	455.63827	440.58245	195.98887	355.1459	554.11724	473.95967	374.08815	438.79124	659.01239	541.97773	117.02625	87.77604	117.02625	12.81822	0.68853	58.24045	17.81612	8.06E-05	2.67715	1.02E-05	1.40E+07	7.18E-08	27.7598	191.81064	7.04E-05	0.00523	2.69E-05	2.45E-05
0.0088	22.39938	8.60482	32.59839	29.39451	6.99825	95.90619	1.51907	0.52853	0.09872	0.62394	0.6882	0.40414	0.06338	0.04043	0.02416	0.02416	0.10731	93.97084	0.73493	1.68039	nan	2.02034	nan	0.39706	0.21096	0.30098	0.12747	0.15648	6.80E-04	0.42792	0.34389	0.19684	52.58365	631.7537	646.04099	348.60431	644.92454	384.07119	420.87743	nan	532.92157	458.66086	441.19585	192.5594	356.04178	554.11175	472.86429	373.30897	436.72913	658.84679	541.9808	116.85719	89.84458	116.85719	12.28115	0.69436	58.34678	17.84865	8.07E-05	2.6768	1.02E-05	1.40E+07	7.16E-08	27.7636	192.33925	7.06E-05	0.00521	2.69E-05	2.45E-05
0.0092	22.63876	7.96236	32.94477	30.20553	6.24381	96.04038	1.43213	0.49318	0.08882	0.6148	0.69605	0.40417	0.06308	0.0397	0.02428	0.02428	0.10437	94.14815	0.63303	1.70251	nan	2.02031	nan	0.39604	0.16164	0.30249	0.08764	0.15649	6.20E-04	0.4245	0.33168	0.19145	52.46368	632.49499	646.76718	344.80774	645.08087	386.895	421.2762	nan	533.54224	461.68345	441.80926	189.12993	356.93766	554.10626	471.76891	372.52979	434.66702	658.68118	541.98387	116.68812	91.91312	116.68812	11.74408	0.70019	58.45311	17.88118	8.08E-05	2.67645	1.02E-05	1.40E+07	7.13E-08	27.7674	192.86785	7.08E-05	0.0052	2.69E-05	2.46E-05
0.0096	22.87814	7.3199	33.29115	31.01656	5.48937	96.17457	1.34518	0.45784	0.07891	0.60565	0.7039	0.40421	0.06279	0.03898	0.02439	0.02439	0.10144	94.32546	0.53114	1.72463	nan	2.02028	nan	0.39502	0.11232	0.30399	0.04782	0.15649	5.60E-04	0.42108	0.31946	0.18606	52.34371	633.23628	647.49338	341.01118	645.23719	389.71881	421.67498	nan	534.1629	464.70604	442.42266	185.70046	357.83354	554.10078	470.67352	371.75061	432.60491	658.51558	541.98693	116.51905	93.98167	116.51905	11.20702	0.70602	58.55943	17.91372	8.09E-05	2.6761	1.02E-05	1.41E+07	7.11E-08	27.7712	193.39645	7.09E-05	0.00518	2.70E-05	2.46E-05
0.01	23.11748	6.67759	33.63741	31.82738	4.73514	96.30873	1.25827	0.42251	0.069	0.5965	0.71175	0.40425	0.0625	0.03825	0.0245	0.0245	0.0985	94.50272	0.42926	1.74675	nan	2.02025	nan	0.394	0.06301	0.3055	0.008	0.1565	5.00E-04	0.41767	0.30725	0.18067	52.2238	633.97734	648.21937	337.21555	645.39355	392.54228	422.07375	nan	534.78353	467.72787	443.0364	182.27177	358.72973	554.09529	469.57853	370.9719	430.54346	658.35003	541.99	116.35003	96.0498	116.35003	10.67005	0.71184	58.66575	17.94625	8.10E-05	2.67575	1.02E-05	1.41E+07	7.09E-08	27.775	193.92492	7.11E-05	0.00516	2.70E-05	2.46E-05
0.0104	22.88818	7.6081	32.75231	30.61327	6.13235	96.07124	1.42014	0.47629	0.08736	0.61108	0.69964	0.4051	0.06292	0.03924	0.02442	0.02442	0.10298	94.21333	0.56363	1.74132	nan	2.02022	nan	0.40628	0.11913	0.31686	0.00768	0.16716	7.00E-04	0.42174	0.32086	0.18274	52.71897	632.41896	646.91498	342.71149	645.91725	392.04243	422.47253	nan	535.10051	463.07428	446.99945	186.68216	362.70561	554.0898	472.41912	375.0044	435.14744	658.65523	541.9832	116.66243	94.04539	116.66243	11.15325	0.70134	58.64674	17.94042	8.09E-05	2.67642	1.02E-05	1.41E+07	7.12E-08	27.7682	193.07591	7.08E-05	0.00519	2.69E-05	2.46E-05
0.0108	22.65888	8.5386	31.8672	29.39917	7.52955	95.83374	1.58201	0.53007	0.10572	0.62566	0.68753	0.40595	0.06334	0.04023	0.02434	0.02434	0.10746	93.92394	0.698	1.73589	nan	2.02019	nan	0.41856	0.17525	0.32822	0.00736	0.17782	9.00E-04	0.42581	0.33447	0.18481	53.21414	630.86057	645.6106	348.20743	646.44096	391.54257	422.8713	nan	535.41749	458.42068	450.96251	191.09254	366.6815	554.08431	475.2597	379.0369	439.75142	658.96043	541.9764	116.97483	92.04098	116.97483	11.63645	0.69083	58.62773	17.93459	8.07E-05	2.67709	1.02E-05	1.40E+07	7.15E-08	27.7614	192.22691	7.05E-05	0.00521	2.69E-05	2.45E-05
0.0112	22.42957	9.4691	30.9821	28.18506	8.92676	95.59625	1.74388	0.58385	0.12408	0.64024	0.67542	0.4068	0.06376	0.04122	0.02426	0.02426	0.11194	93.63455	0.83238	1.73046	nan	2.02016	nan	0.43084	0.23137	0.33958	0.00704	0.18848	0.0011	0.42989	0.34808	0.18689	53.70932	629.30219	644.30621	353.70338	646.96466	391.04272	423.27008	nan	535.73448	453.76709	454.92556	195.50293	370.65738	554.07882	478.10028	383.06939	444.3554	659.26563	541.9696	117.28723	90.03658	117.28723	12.11965	0.68032	58.60872	17.92876	8.05E-05	2.67776	1.02E-05	1.39E+07	7.19E-08	27.7546	191.3779	7.03E-05	0.00524	2.68E-05	2.45E-05
0.0116	22.20027	10.39961	30.097	26.97096	10.32396	95.35876	1.90575	0.63763	0.14244	0.65482	0.66331	0.40765	0.06418	0.04221	0.02418	0.02418	0.11642	93.34516	0.96675	1.72503	nan	2.02013	nan	0.44312	0.28749	0.35094	0.00672	0.19914	0.0013	0.43396	0.36169	0.18896	54.20449	627.7438	643.00183	359.19932	647.48836	390.54286	423.66885	nan	536.05146	449.1135	458.88862	199.91331	374.63326	554.07333	480.94086	387.10189	448.95937	659.57084	541.9628	117.59964	88.03217	117.59964	12.60286	0.66981	58.58971	17.92293	8.04E-05	2.67843	1.02E-05	1.39E+07	7.22E-08	27.7478	190.5289	7.00E-05	0.00526	2.68E-05	2.44E-05
0.012	21.97097	11.33011	29.21189	25.75685	11.72117	95.12127	2.06762	0.69141	0.1608	0.6694	0.6512	0.4085	0.0646	0.0432	0.0241	0.0241	0.1209	93.05577	1.10112	1.7196	nan	2.0201	nan	0.4554	0.34361	0.3623	0.0064	0.2098	0.0015	0.43803	0.3753	0.19103	54.69966	626.18541	641.69744	364.69526	648.01206	390.04301	424.06762	nan	536.36844	444.45991	462.85168	204.3237	378.60914	554.06785	483.78144	391.13438	453.56335	659.87604	541.956	117.91204	86.02776	117.91204	13.08606	0.65931	58.5707	17.9171	8.02E-05	2.6791	1.02E-05	1.38E+07	7.26E-08	27.741	189.6799	6.97E-05	0.00529	2.67E-05	2.44E-05
0.0124	21.74167	12.26062	28.32679	24.54275	13.11837	94.88378	2.22949	0.74519	0.17916	0.68398	0.63909	0.40935	0.06502	0.04419	0.02402	0.02402	0.12538	92.76637	1.23549	1.71417	nan	2.02007	nan	0.46768	0.39973	0.37366	0.00608	0.22046	0.0017	0.44211	0.38891	0.19311	55.19483	624.62703	640.39306	370.1912	648.53576	389.54315	424.4664	nan	536.68542	439.80632	466.81473	208.73408	382.58503	554.06236	486.62202	395.16688	458.16733	660.18124	541.9492	118.22444	84.02335	118.22444	13.56926	0.6488	58.55169	17.91127	8.00E-05	2.67977	1.02E-05	1.38E+07	7.29E-08	27.7342	188.83089	6.94E-05	0.00532	2.67E-05	2.43E-05
0.0128	21.51237	13.19112	27.44169	23.32864	14.51558	94.64629	2.39136	0.79897	0.19752	0.69856	0.62698	0.4102	0.06544	0.04518	0.02394	0.02394	0.12986	92.47698	1.36986	1.70874	nan	2.02004	nan	0.47996	0.45585	0.38502	0.00576	0.23112	0.0019	0.44618	0.40252	0.19518	55.69	623.06864	639.08867	375.68714	649.05947	389.0433	424.86517	nan	537.0024	435.15272	470.77779	213.14446	386.56091	554.05687	489.4626	399.19938	462.77131	660.48644	541.9424	118.53684	82.01894	118.53684	14.05246	0.63829	58.53268	17.90544	7.99E-05	2.68044	1.02E-05	1.37E+07	7.33E-08	27.7274	187.98189	6.91E-05	0.00534	2.66E-05	2.43E-05
0.0132	21.28307	14.12162	26.55658	22.11454	15.91278	94.4088	2.55323	0.85275	0.21588	0.71314	0.61487	0.41105	0.06586	0.04617	0.02386	0.02386	0.13434	92.18759	1.50423	1.70331	nan	2.02001	nan	0.49224	0.51197	0.39638	0.00544	0.24178	0.0021	0.45025	0.41613	0.19725	56.18518	621.51025	637.78429	381.18309	649.58317	388.54344	425.26395	nan	537.31938	430.49913	474.74084	217.55485	390.53679	554.05138	492.30318	403.23187	467.37529	660.79164	541.9356	118.84924	80.01454	118.84924	14.53566	0.62779	58.51367	17.89961	7.97E-05	2.68111	1.02E-05	1.37E+07	7.36E-08	27.7206	187.13289	6.88E-05	0.00537	2.66E-05	2.42E-05
0.0136	21.05377	15.05213	25.67148	20.90043	17.30999	94.17131	2.7151	0.90653	0.23424	0.72772	0.60276	0.4119	0.06628	0.04716	0.02378	0.02378	0.13882	91.8982	1.6386	1.69788	nan	2.01998	nan	0.50452	0.56809	0.40774	0.00512	0.25244	0.0023	0.45433	0.42974	0.19933	56.68035	619.95187	636.4799	386.67903	650.10687	388.04359	425.66272	nan	537.63636	425.84554	478.7039	221.96523	394.51267	554.04589	495.14377	407.26437	471.97927	661.09684	541.9288	119.16164	78.01013	119.16164	15.01887	0.61728	58.49466	17.89378	7.95E-05	2.68178	1.02E-05	1.36E+07	7.39E-08	27.7138	186.28388	6.85E-05	0.00539	2.65E-05	2.42E-05
